target_ref,target_sha,week_start,category,category_label,commit_count,edited_lines
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-02-23,tests_qa,Tests & QA,1,438
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-02-23,documentation_examples,Documentation & examples,12,1564
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-02-23,release_maintenance,Release & maintenance,11,383
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-03-02,product_development,Product development,15,13308
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-03-02,fixes_hardening,Fixes & hardening,9,470
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-03-02,tests_qa,Tests & QA,1,80
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-03-02,documentation_examples,Documentation & examples,6,1438
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-03-02,release_maintenance,Release & maintenance,3,585
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-03-09,product_development,Product development,15,5323
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-03-09,fixes_hardening,Fixes & hardening,11,2375
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-03-09,tests_qa,Tests & QA,5,1073
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-03-09,documentation_examples,Documentation & examples,7,3157
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-03-09,release_maintenance,Release & maintenance,7,365
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-03-16,product_development,Product development,4,582
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-03-16,fixes_hardening,Fixes & hardening,1,4
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-03-16,tests_qa,Tests & QA,2,37
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-03-16,documentation_examples,Documentation & examples,2,409
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-03-16,release_maintenance,Release & maintenance,0,0
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-03-23,product_development,Product development,15,25760
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-03-23,fixes_hardening,Fixes & hardening,11,1832
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-03-23,tests_qa,Tests & QA,78,22185
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-03-23,documentation_examples,Documentation & examples,27,4763
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-03-23,release_maintenance,Release & maintenance,3,44
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-03-30,product_development,Product development,19,13245
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-03-30,fixes_hardening,Fixes & hardening,20,5843
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-03-30,tests_qa,Tests & QA,3,971
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-03-30,documentation_examples,Documentation & examples,26,8173
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-03-30,release_maintenance,Release & maintenance,7,3287
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-04-06,product_development,Product development,5,700
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-04-06,fixes_hardening,Fixes & hardening,21,4404
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-04-06,tests_qa,Tests & QA,0,0
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-04-06,documentation_examples,Documentation & examples,55,16529
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-04-06,release_maintenance,Release & maintenance,16,4027
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-04-13,product_development,Product development,1,46
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-04-13,fixes_hardening,Fixes & hardening,34,1062
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-04-13,tests_qa,Tests & QA,1,9
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-04-13,documentation_examples,Documentation & examples,52,25748
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-04-13,release_maintenance,Release & maintenance,8,2323
v0.2.2,2503743cf654606a5baa83c7b7e7c8b8e1e06596,2026-04-20,product_development,Product development,9,3377
