target_ref,target_sha,week_start,category,category_label,commit_count,edited_lines
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-02-09,fixes_hardening,Fixes & hardening,1,0
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-02-09,tests_qa,Tests & QA,0,0
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-02-09,documentation_examples,Documentation & examples,34,7359
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-02-09,release_maintenance,Release & maintenance,6,165
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-02-16,product_development,Product development,0,0
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-02-16,fixes_hardening,Fixes & hardening,0,0
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-02-16,tests_qa,Tests & QA,0,0
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-02-16,documentation_examples,Documentation & examples,0,0
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-02-16,release_maintenance,Release & maintenance,0,0
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-02-23,product_development,Product development,1,688
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-02-23,fixes_hardening,Fixes & hardening,9,295
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-02-23,tests_qa,Tests & QA,1,438
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-02-23,documentation_examples,Documentation & examples,12,1564
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-02-23,release_maintenance,Release & maintenance,11,383
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-03-02,product_development,Product development,15,13308
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-03-02,fixes_hardening,Fixes & hardening,9,470
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-03-02,tests_qa,Tests & QA,1,80
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-03-02,documentation_examples,Documentation & examples,6,1438
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-03-02,release_maintenance,Release & maintenance,3,585
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-03-09,product_development,Product development,15,5323
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-03-09,fixes_hardening,Fixes & hardening,11,2375
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-03-09,tests_qa,Tests & QA,5,1073
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-03-09,documentation_examples,Documentation & examples,7,3157
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-03-09,release_maintenance,Release & maintenance,7,365
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-03-16,product_development,Product development,4,582
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-03-16,fixes_hardening,Fixes & hardening,1,4
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-03-16,tests_qa,Tests & QA,2,37
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-03-16,documentation_examples,Documentation & examples,2,409
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-03-16,release_maintenance,Release & maintenance,0,0
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-03-23,product_development,Product development,15,25760
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-03-23,fixes_hardening,Fixes & hardening,11,1832
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-03-23,tests_qa,Tests & QA,78,22185
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-03-23,documentation_examples,Documentation & examples,27,4763
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-03-23,release_maintenance,Release & maintenance,3,44
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-03-30,product_development,Product development,19,13245
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-03-30,fixes_hardening,Fixes & hardening,20,5843
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-03-30,tests_qa,Tests & QA,3,971
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-03-30,documentation_examples,Documentation & examples,26,8173
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-03-30,release_maintenance,Release & maintenance,7,3287
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-04-06,product_development,Product development,5,700
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-04-06,fixes_hardening,Fixes & hardening,21,4404
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-04-06,tests_qa,Tests & QA,0,0
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-04-06,documentation_examples,Documentation & examples,55,16529
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-04-06,release_maintenance,Release & maintenance,16,4027
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-04-13,product_development,Product development,1,46
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-04-13,fixes_hardening,Fixes & hardening,34,1062
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-04-13,tests_qa,Tests & QA,1,9
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-04-13,documentation_examples,Documentation & examples,52,25748
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-04-13,release_maintenance,Release & maintenance,8,2323
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-04-20,product_development,Product development,9,3377
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-04-20,fixes_hardening,Fixes & hardening,11,6127
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-04-20,tests_qa,Tests & QA,3,466
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-04-20,documentation_examples,Documentation & examples,24,9518
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-04-20,release_maintenance,Release & maintenance,20,2266
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-04-27,product_development,Product development,20,7681
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-04-27,fixes_hardening,Fixes & hardening,9,3783
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-04-27,tests_qa,Tests & QA,9,2370
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-04-27,documentation_examples,Documentation & examples,14,1832
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-04-27,release_maintenance,Release & maintenance,8,2408
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-05-04,product_development,Product development,0,0
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-05-04,fixes_hardening,Fixes & hardening,12,1983
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-05-04,tests_qa,Tests & QA,1,283
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-05-04,documentation_examples,Documentation & examples,7,324
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-05-04,release_maintenance,Release & maintenance,1,36
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-05-11,product_development,Product development,0,0
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-05-11,fixes_hardening,Fixes & hardening,5,2080
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-05-11,tests_qa,Tests & QA,1,4
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-05-11,documentation_examples,Documentation & examples,4,140
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-05-11,release_maintenance,Release & maintenance,1,42
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-05-18,product_development,Product development,0,0
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-05-18,fixes_hardening,Fixes & hardening,1,13
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-05-18,tests_qa,Tests & QA,4,2083
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-05-18,documentation_examples,Documentation & examples,2,1482
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-05-18,release_maintenance,Release & maintenance,3,36
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-05-25,product_development,Product development,0,0
3ade51de26c9adf21c4a7ad076837967e61c8038,3ade51de26c9adf21c4a7ad076837967e61c8038,2026-05-25,fixes_hardening,Fixes & hardening,0,0
