qualified_name,name,class,lineno,async,decorators,file,A2該当,A2細分類,内容区分,備考,status
gwexpy.timeseries._interop.TimeSeriesInteropMixin.from_netcdf4,from_netcdf4,TimeSeriesInteropMixin,585,False,['classmethod'],gwexpy/_interop.py,No,非A2,非数値,,
gwexpy.timeseries._interop.TimeSeriesInteropMixin.from_jax,from_jax,TimeSeriesInteropMixin,615,False,['classmethod'],gwexpy/_interop.py,No,非A2,非数値,,
gwexpy.timeseries._interop.TimeSeriesInteropMixin.from_cupy,from_cupy,TimeSeriesInteropMixin,652,False,['classmethod'],gwexpy/_interop.py,No,非A2,非数値,,
gwexpy.timeseries._interop.TimeSeriesInteropMixin.to_librosa,to_librosa,TimeSeriesInteropMixin,686,False,[],gwexpy/_interop.py,No,非A2,非数値,,
gwexpy.timeseries._interop.TimeSeriesInteropMixin.to_pydub,to_pydub,TimeSeriesInteropMixin,708,False,[],gwexpy/_interop.py,No,非A2,非数値,,
gwexpy.timeseries._interop.TimeSeriesInteropMixin.from_pydub,from_pydub,TimeSeriesInteropMixin,728,False,['classmethod'],gwexpy/_interop.py,No,非A2,非数値,,
gwexpy.timeseries._interop.TimeSeriesInteropMixin.to_astropy_timeseries,to_astropy_timeseries,TimeSeriesInteropMixin,751,False,[],gwexpy/_interop.py,No,非A2,非数値,,
gwexpy.timeseries._interop.TimeSeriesInteropMixin.from_astropy_timeseries,from_astropy_timeseries,TimeSeriesInteropMixin,773,False,['classmethod'],gwexpy/_interop.py,No,非A2,非数値,,
gwexpy.timeseries._interop.TimeSeriesInteropMixin.to_mne,to_mne,TimeSeriesInteropMixin,803,False,[],gwexpy/_interop.py,No,非A2,非数値,,
gwexpy.timeseries._interop.TimeSeriesInteropMixin.from_mne,from_mne,TimeSeriesInteropMixin,821,False,['classmethod'],gwexpy/_interop.py,No,非A2,非数値,,
gwexpy.timeseries._interop.TimeSeriesInteropMixin.to_json,to_json,TimeSeriesInteropMixin,865,False,[],gwexpy/_interop.py,No,非A2,非数値,,
gwexpy.timeseries._interop.TimeSeriesInteropMixin.from_json,from_json,TimeSeriesInteropMixin,878,False,['classmethod'],gwexpy/_interop.py,No,非A2,非数値,,
gwexpy.timeseries._interop.TimeSeriesInteropMixin.to_dict,to_dict,TimeSeriesInteropMixin,895,False,[],gwexpy/_interop.py,No,非A2,非数値,,
gwexpy.timeseries._interop.TimeSeriesInteropMixin.from_dict,from_dict,TimeSeriesInteropMixin,910,False,['classmethod'],gwexpy/_interop.py,No,非A2,非数値,,
gwexpy.timeseries._interop.TimeSeriesInteropMixin.to_neo,to_neo,TimeSeriesInteropMixin,931,False,[],gwexpy/_interop.py,No,非A2,非数値,,
gwexpy.timeseries._resampling.TimeSeriesResamplingMixin.asfreq,asfreq,TimeSeriesResamplingMixin,42,False,[],gwexpy/_resampling.py,Yes,A2-c,数値,"external:np.abs,np.arange,np.ceil",
gwexpy.timeseries._resampling.TimeSeriesResamplingMixin.resample,resample,TimeSeriesResamplingMixin,428,False,[],gwexpy/_resampling.py,Yes,A2-a,数値,kw,
gwexpy.timeseries._resampling.TimeSeriesResamplingMixin._resample_time_bin,_resample_time_bin,TimeSeriesResamplingMixin,460,False,[],gwexpy/_resampling.py,Yes,A2-c,数値,"external:np.any,np.arange,np.bincount;kw",
gwexpy.timeseries._signal._extract_axis_info,_extract_axis_info,,34,False,[],gwexpy/_signal.py,No,非A2,非数値,,
gwexpy.timeseries._signal.TimeSeriesSignalMixin.hilbert,hilbert,TimeSeriesSignalMixin,57,False,[],gwexpy/_signal.py,Yes,A2-d,数値,"external:np.iscomplexobj,np.isfinite,np.pad;kw",
gwexpy.timeseries._signal.TimeSeriesSignalMixin.envelope,envelope,TimeSeriesSignalMixin,182,False,[],gwexpy/_signal.py,Yes,A2-d,数値,kw,
gwexpy.timeseries._signal.TimeSeriesSignalMixin.instantaneous_phase,instantaneous_phase,TimeSeriesSignalMixin,191,False,[],gwexpy/_signal.py,Yes,A2-d,数値,"external:np.angle,np.asarray,np.unwrap;kw",
gwexpy.timeseries._signal.TimeSeriesSignalMixin.radian,radian,TimeSeriesSignalMixin,259,False,[],gwexpy/_signal.py,Yes,A2-b,数値,"external:np.angle,np.asarray,np.unwrap",
